wb_id,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,gene_names,gene_name,score,human_symbol
WBGene00019750,0,0.249966027624978,0.107,0.016,0,Interneuron,WBGene00019750,M03D4.3,WBGene00019750,0.091,
WBGene00022144,0,0.244188707036668,0.914,0.812,0,Interneuron,WBGene00022144,pghm-1,WBGene00022144,0.102,PAM
WBGene00004441,0,0.243808555417467,0.634,0.477,0,Interneuron,WBGene00004441,rpl-27,WBGene00004441,0.157,RPL27
WBGene00018348,0,0.241902836544568,0.076,0.001,0,Interneuron,WBGene00018348,F42C5.6,WBGene00018348,0.075,
WBGene00009692,0,0.236624758570993,0.856,0.771,0,Interneuron,WBGene00009692,F44E5.5,WBGene00009692,0.085,HSPA8
WBGene00003746,0,0.235029275133868,0.172,0.054,0,Interneuron,WBGene00003746,nlp-8,WBGene00003746,0.118,
WBGene00008914,0,0.234318439561717,0.23,0.067,0,Interneuron,WBGene00008914,F17C11.2,WBGene00008914,0.163,
WBGene00009691,0,0.231381670541741,0.83,0.75,0,Interneuron,WBGene00009691,F44E5.4,WBGene00009691,0.08,
WBGene00017292,0,0.23070976002421,0.141,0.018,0,Interneuron,WBGene00017292,F09E5.16,WBGene00017292,0.123,
WBGene00012813,0,0.228572793626234,0.661,0.538,0,Interneuron,WBGene00012813,Y43F8B.2,WBGene00012813,0.123,GSKIP
WBGene00011231,0,0.225498196630968,0.089,0.015,0,Interneuron,WBGene00011231,R11A5.3,WBGene00011231,0.074,
WBGene00003748,0,0.224035053045641,0.165,0.028,0,Interneuron,WBGene00003748,nlp-10,WBGene00003748,0.137,
WBGene00011254,0,0.216715277243098,0.208,0.094,0,Interneuron,WBGene00011254,R12G8.1,WBGene00011254,0.114,PRKCD
WBGene00004485,0,0.2161401594765,0.476,0.345,0,Interneuron,WBGene00004485,rps-16,WBGene00004485,0.131,RPS16
WBGene00022661,0,0.213742780768084,0.076,0.001,0,Interneuron,WBGene00022661,ZK112.5,WBGene00022661,0.075,
WBGene00001911,0,0.212452062396193,0.822,0.693,0,Interneuron,WBGene00001911,his-37,WBGene00001911,0.129,HIST1H4H
WBGene00017748,0,0.208976585313431,0.076,0.001,0,Interneuron,WBGene00017748,F23F1.7,WBGene00017748,0.075,
WBGene00022191,0,0.202651977770141,0.076,0.002,0,Interneuron,WBGene00022191,Y71H2B.1,WBGene00022191,0.074,
WBGene00004924,0,0.201470334573026,0.712,0.588,0,Interneuron,WBGene00004924,snt-4,WBGene00004924,0.124,SYT4
WBGene00022302,0,0.198387604388961,0.147,0.018,0,Interneuron,WBGene00022302,Y76B12C.8,WBGene00022302,0.129,
WBGene00009122,0,0.197985352754024,0.364,0.232,0,Interneuron,WBGene00009122,tct-1,WBGene00009122,0.132,TPT1
WBGene00004438,0,0.195087862138882,0.394,0.252,0,Interneuron,WBGene00004438,rpl-25.1,WBGene00004438,0.142,RPL23A
WBGene00016324,0,0.194269170568559,0.076,0.006,0,Interneuron,WBGene00016324,C32E8.6,WBGene00016324,0.07,ACSF3
WBGene00020634,0,0.188799488596432,0.075,0.001,0,Interneuron,WBGene00020634,acs-9,WBGene00020634,0.074,ACSM3
WBGene00008820,0,0.187585334113474,0.208,0.086,0,Interneuron,WBGene00008820,nlp-55,WBGene00008820,0.122,
WBGene00001135,0,0.187112871790762,0.198,0.066,0,Interneuron,WBGene00001135,eat-4,WBGene00001135,0.132,SLC17A7
WBGene00001172,0,0.18286670630746,0.588,0.479,0,Interneuron,WBGene00001172,egl-3,WBGene00001172,0.109,PCSK2
WBGene00017442,0,0.181890450249374,0.076,0.005,0,Interneuron,WBGene00017442,F13H8.9,WBGene00017442,0.071,SCLY
WBGene00019719,0,0.181357843741492,0.227,0.086,0,Interneuron,WBGene00019719,M01H9.3,WBGene00019719,0.141,
WBGene00019428,0,0.179539442399514,0.135,0.045,0,Interneuron,WBGene00019428,dgk-5,WBGene00019428,0.09,DGKZ
WBGene00006380,0,0.179342939694814,0.068,0.002,0,Interneuron,WBGene00006380,tab-1,WBGene00006380,0.066,BSX
WBGene00012440,0,0.173776848683071,0.157,0.05,0,Interneuron,WBGene00012440,nlp-53,WBGene00012440,0.107,
WBGene00009879,0,0.171879933173293,0.073,0.001,0,Interneuron,WBGene00009879,F49C12.10,WBGene00009879,0.072,
WBGene00023068,0,0.171407618150042,0.649,0.516,0,Interneuron,WBGene00023068,rpl-41.2,WBGene00023068,0.133,
WBGene00008407,0,0.169618069802226,0.217,0.093,0,Interneuron,WBGene00008407,D2023.3,WBGene00008407,0.124,SYT14
WBGene00017278,0,0.168418553395266,0.074,0.001,0,Interneuron,WBGene00017278,F09C12.6,WBGene00017278,0.073,
WBGene00018188,0,0.168136970357634,0.153,0.043,0,Interneuron,WBGene00018188,F38E9.6,WBGene00018188,0.11,
WBGene00002989,0,0.167137584927869,0.128,0.031,0,Interneuron,WBGene00002989,lim-7,WBGene00002989,0.097,ISL2
WBGene00206538,0,0.161261090376986,0.085,0.015,0,Interneuron,WBGene00206538,C09G5.13,WBGene00206538,0.07,
WBGene00018590,0,0.158484378734748,0.074,0.003,0,Interneuron,WBGene00018590,pdf-2,WBGene00018590,0.071,
WBGene00020126,0,0.157154477475459,0.106,0.012,0,Interneuron,WBGene00020126,flp-26,WBGene00020126,0.094,
WBGene00007316,0,0.156438820546042,0.184,0.064,0,Interneuron,WBGene00007316,nlp-41,WBGene00007316,0.12,
WBGene00022391,0,0.155515043208772,0.165,0.038,0,Interneuron,WBGene00022391,prhg-1,WBGene00022391,0.127,PLEKHG7
WBGene00001484,0,0.153409474876878,0.202,0.065,0,Interneuron,WBGene00001484,fox-1,WBGene00001484,0.137,RBFOX1
WBGene00016988,0,0.15214268645352,0.124,0.027,0,Interneuron,WBGene00016988,CD4.1,WBGene00016988,0.097,
WBGene00009623,0,0.151349865165955,0.125,0.015,0,Interneuron,WBGene00009623,F41E7.7,WBGene00009623,0.11,
WBGene00020703,0,0.146741644418683,0.167,0.049,0,Interneuron,WBGene00020703,T22F7.4,WBGene00020703,0.118,
WBGene00007384,0,0.146455868208242,0.07,0.002,0,Interneuron,WBGene00007384,swt-3,WBGene00007384,0.068,SLC50A1
WBGene00001614,0,0.146342686667987,0.07,0.002,0,Interneuron,WBGene00001614,glr-3,WBGene00001614,0.068,GRIK3
WBGene00012325,0,0.145046381794924,0.089,0.003,0,Interneuron,WBGene00012325,W07A12.8,WBGene00012325,0.086,
WBGene00011088,0,0.144976529278946,0.069,0.001,0,Interneuron,WBGene00011088,kmo-2,WBGene00011088,0.068,KMO
WBGene00002123,0,0.144879810272251,0.156,0.042,0,Interneuron,WBGene00002123,inx-1,WBGene00002123,0.114,
WBGene00016089,0,0.140878092691596,0.073,0.001,0,Interneuron,WBGene00016089,aexr-1,WBGene00016089,0.072,
WBGene00017157,0,0.137571536223671,0.139,0.024,0,Interneuron,WBGene00017157,tyra-2,WBGene00017157,0.115,HTR1A
WBGene00016977,0,0.136772748911295,0.215,0.108,0,Interneuron,WBGene00016977,akap-1,WBGene00016977,0.107,AKAP1
WBGene00016022,0,0.135083502298583,0.135,0.041,0,Interneuron,WBGene00016022,C23H3.9,WBGene00016022,0.094,MBLAC1
WBGene00002084,0,0.132397148790585,0.143,0.037,0,Interneuron,WBGene00002084,ins-1,WBGene00002084,0.106,
WBGene00018639,0,0.130707090532949,0.138,0.034,0,Interneuron,WBGene00018639,tbc-16,WBGene00018639,0.104,TBC1D16
WBGene00022662,0,0.129698411311354,0.071,0,0,Interneuron,WBGene00022662,ZK112.6,WBGene00022662,0.071,
WBGene00001613,0,0.124952074585924,0.121,0.018,0,Interneuron,WBGene00001613,glr-2,WBGene00001613,0.103,GRIA2
WBGene00000433,0,0.124789031349076,0.066,0.004,0,Interneuron,WBGene00000433,ceh-8,WBGene00000433,0.062,RAX2
WBGene00000857,0,0.120968800594171,0.076,0.016,0,Interneuron,WBGene00000857,cwn-1,WBGene00000857,0.06,WNT4
WBGene00044640,0,0.120961830058686,0.054,0.004,0,Interneuron,WBGene00044640,B0432.14,WBGene00044640,0.05,
WBGene00009183,0,0.120898659954083,0.071,0.001,0,Interneuron,WBGene00009183,F27C8.2,WBGene00009183,0.07,
WBGene00044649,0,0.1208636458677,0.07,0.001,0,Interneuron,WBGene00044649,C23H5.11,WBGene00044649,0.069,
WBGene00020294,0,0.116840773032673,0.167,0.075,0,Interneuron,WBGene00020294,T06F4.1,WBGene00020294,0.092,
WBGene00044922,0,0.116606271037076,0.063,0.008,0,Interneuron,WBGene00044922,Y43C5A.7,WBGene00044922,0.055,
WBGene00016916,0,0.113200096117063,0.087,0.017,0,Interneuron,WBGene00016916,C54D2.2,WBGene00016916,0.07,
WBGene00044544,0,0.110800411226261,0.117,0.036,0,Interneuron,WBGene00044544,F26F12.8,WBGene00044544,0.081,
WBGene00013124,0,0.110469451402449,0.115,0.017,0,Interneuron,WBGene00013124,Y52B11A.4,WBGene00013124,0.098,REM2
WBGene00009389,0,0.109736640256162,0.056,0.007,0,Interneuron,WBGene00009389,F35B12.10,WBGene00009389,0.049,GREM1
WBGene00004902,0,0.107788577879495,0.079,0.01,0,Interneuron,WBGene00004902,snf-3,WBGene00004902,0.069,SLC6A1
WBGene00001463,0,0.107780209913533,0.121,0.034,0,Interneuron,WBGene00001463,flp-20,WBGene00001463,0.087,
WBGene00020573,0,0.106206731037945,0.082,0.009,0,Interneuron,WBGene00020573,T19D7.5,WBGene00020573,0.073,
WBGene00077599,0,0.105032565620774,0.045,0.002,0,Interneuron,WBGene00077599,T20F5.8,WBGene00077599,0.043,
WBGene00008280,0,0.104715600630871,0.099,0.005,0,Interneuron,WBGene00008280,acc-2,WBGene00008280,0.094,GLRA3
WBGene00021980,0,0.103655089670162,0.129,0.04,0,Interneuron,WBGene00021980,glb-32,WBGene00021980,0.089,
WBGene00044705,0,0.103450864265681,0.046,0.001,0,Interneuron,WBGene00044705,T22F3.12,WBGene00044705,0.045,PPIF
WBGene00077490,0,0.102656003502675,0.061,0.001,0,Interneuron,WBGene00077490,M03A1.8,WBGene00077490,0.06,FRRS1
WBGene00017076,0,0.101135732927095,0.103,0.027,0,Interneuron,WBGene00017076,D2096.9,WBGene00017076,0.076,
WBGene00006064,0,0.100565592027318,0.115,0.033,0,Interneuron,WBGene00006064,sto-2,WBGene00006064,0.082,STOM
WBGene00000037,0,0.100133768518125,0.118,0.033,0,Interneuron,WBGene00000037,ace-3,WBGene00000037,0.085,BCHE
WBGene00018311,0,0.0998706261425624,0.074,0.011,0,Interneuron,WBGene00018311,F41G4.8,WBGene00018311,0.063,
WBGene00019285,0,0.0990003322037084,0.101,0.033,0,Interneuron,WBGene00019285,cbn-1,WBGene00019285,0.068,
WBGene00021614,0,0.0979732333221845,0.125,0.039,0,Interneuron,WBGene00021614,Y47A7.2,WBGene00021614,0.086,
WBGene00000072,0,0.0978610413791938,0.112,0.03,0,Interneuron,WBGene00000072,add-1,WBGene00000072,0.082,ADD1
WBGene00008761,0,0.09640447736411,0.069,0.012,0,Interneuron,WBGene00008761,F13E9.12,WBGene00008761,0.057,
WBGene00009283,0,0.096285635939111,0.093,0.019,0,Interneuron,WBGene00009283,F31B12.4,WBGene00009283,0.074,
WBGene00001617,0,0.0958943536131662,0.07,0.015,0,Interneuron,WBGene00001617,glr-6,WBGene00001617,0.055,GRIK2
WBGene00010370,0,0.0938602857051797,0.064,0.003,0,Interneuron,WBGene00010370,ctg-1,WBGene00010370,0.061,SEC14L2
WBGene00000282,0,0.0927055505044835,0.121,0.045,0,Interneuron,WBGene00000282,cah-4,WBGene00000282,0.076,CA2
WBGene00002135,0,0.0901398298889243,0.066,0.001,0,Interneuron,WBGene00002135,inx-13,WBGene00002135,0.065,
WBGene00011456,0,0.0899800559907185,0.065,0.001,0,Interneuron,WBGene00011456,T05A1.5,WBGene00011456,0.064,SLC22A8
WBGene00014505,0,0.0892234535229118,0.08,0.012,0,Interneuron,WBGene00014505,T05E11.9,WBGene00014505,0.068,
WBGene00219559,0,0.086765788394659,0.117,0.041,0,Interneuron,WBGene00219559,linc-5,WBGene00219559,0.076,
WBGene00000233,0,0.0866655799365604,0.074,0.018,0,Interneuron,WBGene00000233,avr-15,WBGene00000233,0.056,GLRA3
WBGene00004777,0,0.0854403212845771,0.124,0.045,0,Interneuron,WBGene00004777,ser-2,WBGene00004777,0.079,HTR1A
WBGene00011422,0,0.0841541275062448,0.064,0.002,0,Interneuron,WBGene00011422,T04B2.3,WBGene00011422,0.062,
WBGene00004063,0,0.0834217082601267,0.116,0.041,0,Interneuron,WBGene00004063,pmr-1,WBGene00004063,0.075,ATP2C2
WBGene00003386,0,0.0827724689771881,0.101,0.031,0,Interneuron,WBGene00003386,mod-1,WBGene00003386,0.07,GABRB3
WBGene00017717,0,0.0814091071082302,0.072,0.011,0,Interneuron,WBGene00017717,F22F4.4,WBGene00017717,0.061,
WBGene00007185,0,0.0797277478544584,0.088,0.018,0,Interneuron,WBGene00007185,nlp-36,WBGene00007185,0.07,
WBGene00009107,0,0.0795277979108928,0.041,0.002,0,Interneuron,WBGene00009107,txt-10,WBGene00009107,0.039,
WBGene00016809,0,0.0791995478539999,0.084,0.023,0,Interneuron,WBGene00016809,C50D2.6,WBGene00016809,0.061,
WBGene00002134,0,0.07846580984158,0.062,0.001,0,Interneuron,WBGene00002134,inx-12,WBGene00002134,0.061,
WBGene00008543,0,0.0782268291260353,0.069,0.008,0,Interneuron,WBGene00008543,F07A5.4,WBGene00008543,0.061,GLDN
WBGene00021547,0,0.0772427372011095,0.062,0.006,0,Interneuron,WBGene00021547,Y44E3A.1,WBGene00021547,0.056,
WBGene00016868,0,0.076965566481768,0.059,0.001,0,Interneuron,WBGene00016868,C52B9.8,WBGene00016868,0.058,
WBGene00016558,0,0.0762341163317133,0.057,0.001,0,Interneuron,WBGene00016558,pks-1,WBGene00016558,0.056,FASN
WBGene00045365,0,0.0758871019534999,0.051,0.001,0,Interneuron,WBGene00045365,ZC449.7,WBGene00045365,0.05,
WBGene00003878,0,0.0757690514956176,0.069,0.006,0,Interneuron,WBGene00003878,pept-3,WBGene00003878,0.063,SLC15A1
WBGene00009184,0,0.0755535467589337,0.056,0,0,Interneuron,WBGene00009184,F27C8.3,WBGene00009184,0.056,
WBGene00003775,0,0.0753482816030375,0.059,0.008,0,Interneuron,WBGene00003775,nmr-2,WBGene00003775,0.051,GRIN2A
WBGene00020045,0,0.0752410411011059,0.091,0.022,0,Interneuron,WBGene00020045,glb-23,WBGene00020045,0.069,
WBGene00006541,0,0.0742913274452635,0.039,0.002,0,Interneuron,WBGene00006541,tbh-1,WBGene00006541,0.037,DBH
WBGene00006609,0,0.0730769930681568,0.05,0.006,0,Interneuron,WBGene00006609,tre-3,WBGene00006609,0.044,TREH
WBGene00007652,0,0.0718045708116954,0.061,0.006,0,Interneuron,WBGene00007652,C17G1.5,WBGene00007652,0.055,
WBGene00017400,0,0.0709146495871734,0.078,0.012,0,Interneuron,WBGene00017400,stg-2,WBGene00017400,0.066,
WBGene00006746,0,0.0703332855591193,0.066,0.012,0,Interneuron,WBGene00006746,unc-6,WBGene00006746,0.054,NTN3
WBGene00022245,0,0.0690701522998697,0.043,0.002,0,Interneuron,WBGene00022245,acp-6,WBGene00022245,0.041,
WBGene00044534,0,0.0678646281717351,0.057,0.001,0,Interneuron,WBGene00044534,H23N18.6,WBGene00044534,0.056,
WBGene00008742,0,0.0664021072627966,0.058,0.01,0,Interneuron,WBGene00008742,F13D12.8,WBGene00008742,0.048,
WBGene00019300,0,0.0649917757396715,0.055,0.006,0,Interneuron,WBGene00019300,swt-1,WBGene00019300,0.049,SLC50A1
WBGene00016503,0,0.0636713355501047,0.064,0.006,0,Interneuron,WBGene00016503,C37C3.11,WBGene00016503,0.058,
WBGene00019620,0,0.0630078228525989,0.054,0.002,0,Interneuron,WBGene00019620,fah-1,WBGene00019620,0.052,FAH
WBGene00194952,0,0.0623357917174923,0.051,0,0,Interneuron,WBGene00194952,ZK666.14,WBGene00194952,0.051,
WBGene00018078,0,0.0619379056306665,0.074,0.015,0,Interneuron,WBGene00018078,F35H12.6,WBGene00018078,0.059,
WBGene00019174,0,0.0618732245674225,0.049,0.004,0,Interneuron,WBGene00019174,H09G03.1,WBGene00019174,0.045,
WBGene00022615,0,0.0610063945077111,0.052,0.004,0,Interneuron,WBGene00022615,ZC449.5,WBGene00022615,0.048,
WBGene00011739,0,0.0580629045386728,0.05,0.003,0,Interneuron,WBGene00011739,T12G3.4,WBGene00011739,0.047,APMAP
WBGene00019445,0,0.0551279591402186,0.054,0.008,0,Interneuron,WBGene00019445,frpr-12,WBGene00019445,0.046,CCKAR
WBGene00015033,0,0.0549775652303577,0.056,0.008,0,Interneuron,WBGene00015033,B0207.10,WBGene00015033,0.048,
WBGene00019424,0,0.0538754678331947,0.041,0.001,0,Interneuron,WBGene00019424,aptf-1,WBGene00019424,0.04,TFAP2A
WBGene00004790,0,0.0533160303664517,0.049,0.001,0,Interneuron,WBGene00004790,sgn-1,WBGene00004790,0.048,SGCD
WBGene00018221,0,0.0517001709407132,0.06,0.009,0,Interneuron,WBGene00018221,F40A3.6,WBGene00018221,0.051,
WBGene00005311,0,0.0512902896327815,0.041,0,0,Interneuron,WBGene00005311,,WBGene00005311,0.041,
WBGene00020215,0,0.0509966853086454,0.045,0.001,0,Interneuron,WBGene00020215,T04G9.4,WBGene00020215,0.044,AASDHPPT
WBGene00045395,0,0.0494157922662923,0.052,0.007,0,Interneuron,WBGene00045395,F09F9.5,WBGene00045395,0.045,
WBGene00017243,0,0.0486613044736558,0.043,0.002,0,Interneuron,WBGene00017243,F08C6.5,WBGene00017243,0.041,
WBGene00019843,0,0.0464608120608581,0.041,0.001,0,Interneuron,WBGene00019843,R03E9.2,WBGene00019843,0.04,
WBGene00016101,0,0.0455397273443242,0.038,0.002,0,Interneuron,WBGene00016101,C25E10.12,WBGene00016101,0.036,MPPED2
WBGene00000435,0,0.0392303508993783,0.038,0.002,0,Interneuron,WBGene00000435,ceh-10,WBGene00000435,0.036,VSX1
WBGene00010772,0,0.0376045695719622,0.035,0,0,Interneuron,WBGene00010772,K11D9.3,WBGene00010772,0.035,SLC22A15
WBGene00215616,0,0.0368582705392869,0.034,0,0,Interneuron,WBGene00215616,,WBGene00215616,0.034,
WBGene00000451,0,0.0356431500139391,0.032,0,0,Interneuron,WBGene00000451,ceh-30,WBGene00000451,0.032,BARX2
WBGene00007430,0,0.0350708785202784,0.034,0.001,0,Interneuron,WBGene00007430,C08B6.10,WBGene00007430,0.033,
WBGene00021156,0,0.0350237074540359,0.034,0.001,0,Interneuron,WBGene00021156,Y4C6B.2,WBGene00021156,0.033,SLC36A3
WBGene00044631,0,0.034998370244391,0.034,0.001,0,Interneuron,WBGene00044631,bus-18,WBGene00044631,0.033,LCLAT1
WBGene00005712,5.60840047475414e-306,0.0329086617115354,0.032,0,1.03615198771083e-301,Interneuron,WBGene00005712,srv-1,WBGene00005712,0.032,
WBGene00235291,7.94152288751901e-306,0.213107214140362,0.303,0.193,1.46719635346914e-301,Interneuron,WBGene00235291,C01G5.25,WBGene00235291,0.11,
WBGene00017718,1.74179711175408e-302,0.0868971970621546,0.032,0.001,3.21797016396567e-298,Interneuron,WBGene00017718,F22F4.5,WBGene00017718,0.031,
WBGene00021871,4.16296550487409e-300,0.0367778520659949,0.037,0.002,7.69107877025488e-296,Interneuron,WBGene00021871,dml-1,WBGene00021871,0.035,
WBGene00018203,4.98495549298879e-299,0.0308620852896518,0.03,0,9.20970527329679e-295,Interneuron,WBGene00018203,F39F10.3,WBGene00018203,0.03,CSNK1A1L
WBGene00011849,2.19765519328117e-297,0.0872869922926469,0.099,0.033,4.06016796958695e-293,Interneuron,WBGene00011849,T19H5.4,WBGene00011849,0.066,
WBGene00015390,2.80312041716533e-297,0.0642178271974263,0.068,0.015,5.17876497071295e-293,Interneuron,WBGene00015390,C03F11.4,WBGene00015390,0.053,
WBGene00015559,4.12340903775774e-297,0.0600454136856383,0.049,0.007,7.61799819725743e-293,Interneuron,WBGene00015559,npr-17,WBGene00015559,0.042,MCHR1
WBGene00011352,3.97071510058165e-296,0.147826982514958,0.299,0.182,7.33589614832461e-292,Interneuron,WBGene00011352,rskn-1,WBGene00011352,0.117,RPS6KA1
WBGene00006717,7.58102072630142e-293,0.0874349604252682,0.079,0.022,1.40059357918419e-288,Interneuron,WBGene00006717,ubc-22,WBGene00006717,0.057,UBE2K
WBGene00000439,3.12540833154536e-291,0.0330901445663654,0.031,0.001,5.77419189253005e-287,Interneuron,WBGene00000439,ceh-16,WBGene00000439,0.03,EN1
WBGene00010073,2.57928318059404e-288,0.0853638427568336,0.091,0.028,4.76522567614749e-284,Interneuron,WBGene00010073,F54F12.2,WBGene00010073,0.063,
WBGene00001450,2.79743583809661e-287,0.11642104317649,0.124,0.05,5.16826271088348e-283,Interneuron,WBGene00001450,flp-7,WBGene00001450,0.074,
WBGene00008920,2.21592155506865e-286,0.191489207649594,0.656,0.568,4.09391507298932e-282,Interneuron,WBGene00008920,eef-1G,WBGene00008920,0.0880000000000001,EEF1G
WBGene00012899,5.92197638079061e-286,0.0303715615534512,0.029,0,1.09408513635107e-281,Interneuron,WBGene00012899,Y46G5A.7,WBGene00012899,0.029,
WBGene00000434,1.70203835789787e-283,0.0746494722627264,0.043,0.005,3.14451586621631e-279,Interneuron,WBGene00000434,ceh-9,WBGene00000434,0.038,HMX3
WBGene00002189,2.36714867160582e-282,0.152295216446367,0.567,0.447,4.37330717079175e-278,Interneuron,WBGene00002189,kin-1,WBGene00002189,0.12,PRKACA
WBGene00001612,3.09152062505392e-281,0.0797785765609005,0.1,0.034,5.71158435478712e-277,Interneuron,WBGene00001612,glr-1,WBGene00001612,0.066,GRIA1
WBGene00003911,3.44949141927724e-281,0.0666073343295736,0.069,0.017,6.3729353971147e-277,Interneuron,WBGene00003911,pak-1,WBGene00003911,0.052,PAK1
WBGene00008076,3.79393065085765e-281,0.0323515807788496,0.03,0.001,7.00928687745952e-277,Interneuron,WBGene00008076,lgc-43,WBGene00008076,0.029,GABRB1
WBGene00006066,1.31406096085589e-280,0.0920709189383211,0.17,0.08,2.42772762518126e-276,Interneuron,WBGene00006066,sto-4,WBGene00006066,0.09,STOM
WBGene00043097,7.40587986941395e-279,0.0926197079024332,0.091,0.029,1.36823630587423e-274,Interneuron,WBGene00043097,C02D5.4,WBGene00043097,0.062,GSTO1
WBGene00000463,1.10127608808637e-277,0.0435362367658196,0.05,0.008,2.03460757273956e-273,Interneuron,WBGene00000463,ceh-43,WBGene00000463,0.042,DLX1
WBGene00018002,6.56002326008261e-275,0.0417045538603754,0.029,0.001,1.21196429730026e-270,Interneuron,WBGene00018002,twk-47,WBGene00018002,0.028,KCNK18
WBGene00018214,3.462942345593e-274,0.102082875335127,0.161,0.076,6.39778598348306e-270,Interneuron,WBGene00018214,F39H12.3,WBGene00018214,0.085,
WBGene00000453,5.45926344031598e-274,0.0697202357721188,0.062,0.014,1.00859892059838e-269,Interneuron,WBGene00000453,ceh-32,WBGene00000453,0.048,SIX6
WBGene00021781,2.6408524489335e-273,0.053607968122872,0.051,0.009,4.87897489940464e-269,Interneuron,WBGene00021781,Y51H7C.3,WBGene00021781,0.042,
WBGene00009965,4.27857054835874e-273,0.048187146640342,0.057,0.011,7.90465908809277e-269,Interneuron,WBGene00009965,frpr-9,WBGene00009965,0.046,
WBGene00003685,7.50987087173663e-273,0.0774477203183091,0.069,0.018,1.38744864355334e-268,Interneuron,WBGene00003685,nhr-95,WBGene00003685,0.051,PPARG
WBGene00007006,1.80600089464823e-270,0.0585046537953761,0.08,0.023,3.33658665286261e-266,Interneuron,WBGene00007006,npr-3,WBGene00007006,0.057,NPY2R
WBGene00003876,2.16365808948029e-270,0.0286346788116737,0.027,0,3.99735832031484e-266,Interneuron,WBGene00003876,pept-2,WBGene00003876,0.027,SLC15A1
WBGene00002108,3.89800513427576e-270,0.0805433085934128,0.059,0.013,7.20156448557447e-266,Interneuron,WBGene00002108,ins-25,WBGene00002108,0.046,
WBGene00009119,1.65265656958844e-269,0.189923982675562,0.716,0.619,3.05328301231465e-265,Interneuron,WBGene00009119,ndk-1,WBGene00009119,0.097,NME1
