p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
3.51710390595228e-175	0.655127765353159	0.319	0.065	1.18505299007156e-170	AT1	ATOH8
2.77542356097099e-171	2.11261960489495	0.546	0.181	9.35151214633565e-167	AT1	MYO1C
8.65474296470455e-166	0.859551009768528	0.488	0.15	2.91612909452755e-161	AT1	C12orf49
3.71452593082516e-161	1.01589032212461	0.306	0.065	1.25157236713223e-156	AT1	LMTK2
1.84026376236666e-159	0.436633354592734	0.447	0.127	6.20058472091824e-155	AT1	UNC13B
5.507266024177e-159	0.575630063503856	0.314	0.069	1.8556182141862e-154	AT1	SCD5
4.81497092996153e-158	1.45682947946535	0.348	0.083	1.62235630514124e-153	AT1	RBMS3
1.68871583032409e-157	1.79901103379046	0.505	0.162	5.68995911869398e-153	AT1	LAMB2
1.07263530934626e-153	1.16700081543448	0.393	0.103	3.6141374113113e-149	AT1	INADL
4.00975737997536e-152	1.59370035742614	0.562	0.201	1.3510476516089e-147	AT1	RASSF7
3.88691585552651e-148	1.3876536852242	0.364	0.095	1.3096574283611e-143	AT1	NDST1
2.15927060105324e-147	16.0931880437765	0.253	0.049	7.2754463631888e-143	AT1	C3orf52
4.63681067985102e-139	7.83455849120225	0.604	0.21	1.562326990469e-134	AT1	ADGRF5
5.93391452645556e-137	0.652622978437202	0.319	0.077	1.99937316054394e-132	AT1	GALNT18
5.64885419280415e-131	0.769177031548775	0.281	0.065	1.90332493172343e-126	AT1	APBB2
6.85406857452748e-130	0.952055067654059	0.305	0.074	2.30940986550129e-125	AT1	MARC2
7.81160571229154e-122	0.691011633553355	0.349	0.097	2.63204242869951e-117	AT1	HACD1
4.99413216483358e-121	1.0450482375097	0.284	0.069	1.68272289161903e-116	AT1	PPP1R13L
2.32211136205247e-117	0.606837825371058	0.25	0.057	7.82412202329958e-113	AT1	PLXNA1
8.77957186247421e-112	0.793733710892975	0.268	0.066	2.95818894334206e-107	AT1	OTUD7B
3.54554408022353e-107	0.374428625860843	0.429	0.146	1.19463562239052e-102	AT1	ERBB2
2.08385149243368e-105	1.03646052707635	0.425	0.151	7.02132921860603e-101	AT1	PLEKHA1
1.6805404833731e-104	1.3629372258283	0.364	0.117	5.66241310467731e-100	AT1	PEAK1
1.81091460620922e-103	0.66874789380012	0.254	0.064	6.10169567416133e-99	AT1	CDKL5
9.55236635131411e-102	1.1190049097818	0.371	0.119	3.21857431841178e-97	AT1	FZD6
1.77994997157081e-100	1.20990070684897	0.296	0.084	5.99736343421068e-96	AT1	LIMD1
2.94406345951756e-97	9.50411342117676	0.253	0.065	9.91972742049848e-93	AT1	LURAP1L
4.17685744856428e-96	19.0988801951325	0.649	0.288	1.40735034871925e-91	AT1	DHCR24
1.95489720535916e-95	0.894858353017354	0.259	0.069	6.58683064373715e-91	AT1	FAXDC2
2.4455324659172e-94	0.927468161031294	0.329	0.103	8.2399770906614e-90	AT1	TANC1
2.92146505925165e-91	0.601865705107566	0.314	0.097	9.84358437064253e-87	AT1	MAGI1
1.1530289670372e-89	2.16950585018671	0.466	0.195	3.88501580153513e-85	AT1	SESTD1
7.38221199000653e-87	0.529531613135322	0.585	0.292	2.4873625079128e-82	AT1	TES
1.45191646254802e-86	0.957693895568106	0.855	0.6	4.89208732890929e-82	AT1	ATP1A1
7.75748640226988e-85	0.328428843057474	0.383	0.138	2.61380746838081e-80	AT1	PARVA
2.34683620270521e-84	0.348987698466784	0.337	0.115	7.90742990139493e-80	AT1	RRAS
1.87463989533129e-83	1.75726922671107	0.298	0.094	6.31641166332924e-79	AT1	ATP8A1
1.16190666321996e-82	1.09279078376982	0.306	0.101	3.91492831105334e-78	AT1	CCDC84
2.80608849216176e-79	0.66815841464778	0.278	0.087	9.45483456548984e-75	AT1	MPP5
1.73796419317467e-78	1.96374338762049	0.337	0.118	5.85589655248272e-74	AT1	MYO5C
1.19987284198917e-71	3.35027626971796	0.355	0.137	4.04285155379829e-67	AT1	FAS
2.0014527693485e-71	0.452861396203961	0.256	0.08	6.74369496104282e-67	AT1	GCNT2
1.83761250738951e-70	1.15206152266762	0.46	0.21	6.19165158239822e-66	AT1	LPCAT3
5.3199221341103e-69	1.35836721358976	0.501	0.25	1.79249456386712e-64	AT1	SSFA2
1.38897334661764e-68	0.748865845809738	0.278	0.094	4.68000679409348e-64	AT1	NHSL1
5.52009680924725e-68	0.640072356970532	0.258	0.086	1.85994141890777e-63	AT1	OSGIN2
1.10528756593298e-65	1.08726885253034	0.489	0.247	3.72415592465459e-61	AT1	PLEKHJ1
1.56137869669146e-63	3.42037094924589	0.576	0.318	5.26090938063222e-59	AT1	UBL3
6.52556657305399e-63	0.592012914671848	0.296	0.107	2.19872440112481e-58	AT1	NAV2
1.49590910761123e-60	0.666603133898091	0.306	0.119	5.04031614718528e-56	AT1	DGCR2
7.63886610027263e-60	0.738532928307077	0.42	0.198	2.57383954382586e-55	AT1	UXS1
5.77038706988612e-59	0.492687295978502	0.424	0.204	1.94427421932743e-54	AT1	ANO6
2.30905514507955e-57	1.20554787226212	0.406	0.189	7.78013040583103e-53	AT1	FAM63B
2.38682225331481e-57	0.295571072137015	0.281	0.104	8.04215890031893e-53	AT1	PHYHD1
4.9356412356332e-55	0.603696453798799	0.302	0.12	1.66301495793425e-50	AT1	FN3K
8.55648918469564e-53	0.505767326928334	0.438	0.219	2.88302346589135e-48	AT1	CCDC6
8.85071746093206e-52	0.421001280009086	0.28	0.114	2.98216074128645e-47	AT1	ZNF431
2.54251866557497e-51	0.870946712359052	0.357	0.163	8.56676239178831e-47	AT1	MYO9A
4.06991514661227e-51	0.910066556713931	0.381	0.18	1.37131720949954e-46	AT1	SREBF2
5.12152864275291e-51	0.299192645632311	0.294	0.119	1.72564786088916e-46	AT1	HMHA1
4.28878441656004e-50	0.367027455066562	0.266	0.102	1.44506302131574e-45	AT1	ESRP1
1.84943741700675e-49	0.832865616466437	0.309	0.131	6.23149443286254e-45	AT1	INF2
5.21525143367339e-49	0.724499259821103	0.296	0.124	1.75722681806191e-44	AT1	DAG1
2.48725130686319e-48	1.0927967795073	0.425	0.219	8.38054455334484e-44	AT1	TMEM43
7.33266342896549e-47	0.42508986606103	0.266	0.106	2.47066761575563e-42	AT1	ANKS1A
2.3565848204504e-46	0.475289900982548	0.326	0.145	7.94027689402558e-42	AT1	KIFC3
4.2711548186849e-46	0.552000232765426	0.253	0.1	1.43912290460769e-41	AT1	SLC7A6
1.59661836065415e-45	0.664958784955436	0.28	0.117	5.3796459043881e-41	AT1	MICA
1.40557355854106e-44	0.613070343483195	0.259	0.106	4.73593954814824e-40	AT1	IFI27L1
4.0624454456854e-44	4.07527811539615	0.401	0.207	1.36880036846924e-39	AT1	TMEM245
5.96009669444588e-44	0.544090746073415	0.278	0.118	2.00819498022659e-39	AT1	DOCK5
4.86480376983764e-43	0.37202058428755	0.32	0.149	1.63914698220909e-38	AT1	TP53BP2
1.37141479319744e-42	0.771175461833043	0.307	0.14	4.62084500419946e-38	AT1	POGK
5.77678347465561e-41	0.750274595220217	0.339	0.165	1.94642942395046e-36	AT1	N4BP1
1.76245499834574e-40	0.438082734859675	0.253	0.106	5.93841587142613e-36	AT1	MMS19
2.57298528273511e-39	0.499527123179141	0.289	0.129	8.66941661164767e-35	AT1	HIP1
3.4197273466685e-39	0.588705399140352	0.291	0.132	1.15224293218648e-34	AT1	VKORC1L1
3.97194790942339e-39	0.530938025098287	0.293	0.136	1.33830812860112e-34	AT1	CRYZ
2.47415610596314e-38	4.1180115414932	0.333	0.163	8.3364215834322e-34	AT1	MEGF9
3.36831085904672e-36	0.758844078899346	0.482	0.287	1.1349186608472e-31	AT1	CERS2
5.60652656841006e-36	0.866978962664536	0.349	0.18	1.88906306196009e-31	AT1	VPS13A
2.01275242518972e-35	0.347769064079867	0.258	0.115	6.78176802143423e-31	AT1	SMPD1
1.11000204903155e-33	0.520695895492872	0.257	0.117	3.74004090400689e-29	AT1	SNX24
5.13956343469902e-33	1.84442914533118	0.294	0.145	1.73172450368749e-28	AT1	PIEZO1
9.71679809529834e-33	0.271959058638853	0.27	0.128	3.27397795022982e-28	AT1	PRKAB1
3.36084045350225e-32	0.304330707136836	0.298	0.147	1.13240158240305e-27	AT1	GSE1
2.27819208031821e-31	0.768786277473235	0.256	0.122	7.67614039542417e-27	AT1	NINJ2
6.65797448201815e-31	0.331554334185676	0.262	0.125	2.2433379219712e-26	AT1	IGSF8
1.43462819823218e-29	2.00120953248843	0.393	0.231	4.83383625112349e-25	AT1	EGLN2
2.72129123662386e-28	0.535826199235978	0.278	0.141	9.16911869268043e-24	AT1	STX3
6.62432024556481e-28	0.672436204216439	0.322	0.176	2.23199846354061e-23	AT1	ZC3H14
2.56042935502921e-27	0.566887211170649	0.311	0.171	8.62711066883543e-23	AT1	MPPE1
3.00527532233209e-27	171.464333051994	0.961	0.869	1.01259746710657e-22	AT1	ANXA2
4.26280885988726e-27	0.547429330310015	0.291	0.154	1.43631081725041e-22	AT1	RBMS2
1.16559846281997e-25	0.603581985920992	0.358	0.21	3.92736746062561e-21	AT1	SEPT10
1.65992249081638e-25	0.321165491648325	0.259	0.132	5.5929428405567e-21	AT1	PLXNA2
2.1044263832889e-25	0.491524596425384	0.118	0.284	7.09065425585361e-21	AT1	FNBP1
2.13273535267362e-25	0.567660561823293	0.324	0.185	7.1860384972985e-21	AT1	ARHGEF2
4.55652512009557e-25	0.45423222045264	0.289	0.158	1.535275573965e-20	AT1	AGTPBP1
6.72073595147036e-25	1.5594431156519	0.409	0.256	2.26448477148842e-20	AT1	CALCOCO1
8.2395074765525e-24	0.532691450739795	0.265	0.141	2.7762196491496e-19	AT1	AKAP11
1.44933390120464e-23	0.302405505704668	0.42	0.274	4.88338564671891e-19	AT1	PEF1
1.71703020741657e-20	0.47909789285716	0.389	0.25	5.7853615808694e-16	AT1	SNX14
2.1432902850226e-19	1.53383650234026	0.355	0.221	7.22160228635516e-15	AT1	SESN1
3.093734737591e-19	0.265576680553286	0.267	0.153	1.04240298248391e-14	AT1	TSEN15
3.40572264493674e-19	0.409970445446509	0.354	0.223	1.14752418798498e-14	AT1	MARK3
8.12029341600869e-19	0.262149669937874	0.444	0.301	2.73605166358997e-14	AT1	SPSB3
3.80207630178314e-18	0.253429996163223	0.268	0.157	1.28107158912281e-13	AT1	MPRIP
2.14463398550684e-17	0.306814265914598	0.298	0.182	7.22612975076674e-13	AT1	TMEM189
2.55318193959859e-17	2.36675683884215	0.38	0.253	8.6026912272835e-13	AT1	C5orf24
6.88467778439571e-17	0.940190941411116	0.458	0.325	2.31972333267429e-12	AT1	THOC2
2.37056863177715e-16	0.299409581287261	0.309	0.191	7.98739394790992e-12	AT1	GSAP
4.73164636391923e-14	0.705226009139843	0.414	0.3	1.59428092585895e-09	AT1	QKI
2.86175167192867e-13	0.47006533549407	0.287	0.186	9.64238608339646e-09	AT1	RICTOR
4.47688325202575e-13	0.530312058926662	0.283	0.181	1.50844104293756e-08	AT1	SGMS1
1.99858471858044e-12	0.446825009598066	0.309	0.209	6.73403135078493e-08	AT1	ZDHHC7
2.24357207216341e-12	0.936187218280567	0.326	0.224	7.55949173994739e-08	AT1	RAB5B
4.69574332594116e-12	0.518101238439394	0.355	0.25	1.58218375624261e-07	AT1	COMMD2
9.78197921830657e-11	0.581787862998453	0.521	0.418	3.29594007781622e-06	AT1	WBP2
3.85728591326632e-10	1.47183818431727	0.355	0.265	1.29967391561595e-05	AT1	PMVK
4.98238841487022e-10	0.306616869085285	0.268	0.183	1.67876595250637e-05	AT1	ATAD1
6.49395209511042e-10	0.47105427473781	0.346	0.252	2.1880722189265e-05	AT1	MAP7D1
2.52542065850898e-09	0.859557653139704	0.236	0.33	8.50915236678015e-05	AT1	PPP6C
3.57202486158651e-09	0.573342043092882	0.272	0.188	0.000120355805686296	AT1	WDR6
8.96565394712042e-09	18.2602136877878	0.49	0.388	0.000302088744094275	AT1	AHR
1.34450268061895e-07	0.266857167878418	0.344	0.266	0.00453016733207749	AT1	TTC17
3.34812383433691e-07	0.258721896575987	0.254	0.184	0.0112811684474148	AT1	NUDT9
1.44166105676176e-06	0.66762910534338	0.288	0.217	0.0485753276465308	AT1	NT5DC1
2.62335382674259e-06	0.511090287150535	0.364	0.293	0.0883912838382649	AT1	NPEPPS
4.884083835721e-06	0.447438249212159	0.304	0.236	0.164564320760783	AT1	UBAP1
1.00563912379747e-05	0.319436104816545	0.275	0.214	0.33884004637232	AT1	POGZ
5.53849225698521e-05	0.330930105159855	0.28	0.223	1	AT1	DCTN4
0.000153884811973848	0.706093725660362	0.243	0.3	1	AT1	CEBPZ
0.000278276781920726	0.780835094453233	0.266	0.318	1	AT1	DHRS4
0.000621513543115255	0.394253329139966	0.278	0.226	1	AT1	MED15
0.00135344110243336	0.280924615218165	0.368	0.317	1	AT1	ARL2BP
0.00148351177410269	0.258828843374141	0.25	0.205	1	AT1	TIA1
0	Inf	0.994	0.17	0	AT2	SFTPA1
0	615.199174097037	0.739	0.138	0	AT2	C8orf4
0	385.740565924261	0.832	0.9	0	AT2	DUSP1
0	280.493924669438	0.663	0.32	0	AT2	ICAM1
0	244.426548648308	0.991	0.107	0	AT2	NAPSA
0	196.817612298952	0.669	0.385	0	AT2	EGR1
0	188.161442053638	0.955	0.982	0	AT2	MT-ND1
0	180.944395190523	0.724	0.244	0	AT2	ELF3
0	172.291618571692	0.284	0.027	0	AT2	RND1
0	168.406406522082	0.627	0.354	0	AT2	AREG
0	165.078321398375	0.989	0.238	0	AT2	SLC34A2
0	149.208675949636	0.998	0.852	0	AT2	NPC2
0	120.354775131799	0.876	0.355	0	AT2	SDC4
0	105.927824722967	0.98	0.973	0	AT2	RPS28
0	101.599739600301	0.969	0.956	0	AT2	RPL37
0	95.3770156061354	0.758	0.253	0	AT2	MID1IP1
0	86.6966612508257	0.484	0.024	0	AT2	SLC6A14
0	85.728738822778	0.917	0.11	0	AT2	LRRK2
0	83.8340563558858	0.546	0.273	0	AT2	DUSP6
0	82.9148007999285	0.991	0.662	0	AT2	CTSH
0	82.8447038820818	0.731	0.507	0	AT2	CITED2
0	79.9331291759469	0.964	0.939	0	AT2	RPL24
0	69.5076835090183	0.705	0.014	0	AT2	PLA2G1B
0	66.420039290598	0.557	0.268	0	AT2	ZDHHC3
0	63.8945314350181	0.583	0.044	0	AT2	C11orf96
0	61.1774759430893	0.752	0.06	0	AT2	WIF1
0	57.6374144824521	0.711	0.179	0	AT2	MSMO1
0	53.9890002217089	0.515	0.217	0	AT2	TRIB1
0	49.6623937325105	0.695	0.14	0	AT2	TACC2
0	49.6365266107312	0.985	0.121	0	AT2	SFTA2
0	49.6090547858096	0.43	0.017	0	AT2	DMBT1
0	48.6011644013492	0.548	0.079	0	AT2	FLRT3
0	48.2198203695528	0.943	0.044	0	AT2	SFTPD
0	45.2365628353015	0.283	0.072	0	AT2	NR1D1
0	40.1591497216843	0.568	0.02	0	AT2	TTN
0	38.1175861425343	0.648	0.096	0	AT2	F3
0	37.8184574478704	0.602	0.252	0	AT2	IDI1
0	36.6784627602973	0.995	0.923	0	AT2	SAT1
0	36.6784615606544	0.079	0.339	0	AT2	ISG15
0	36.1228328282699	0.883	0.239	0	AT2	AK1
0	35.2413107460392	0.741	0.07	0	AT2	MFSD2A
0	32.3500126424365	0.52	0.265	0	AT2	ODC1
0	30.8603354465345	0.83	0.046	0	AT2	ALPL
0	29.9170806972853	0.86	0.032	0	AT2	ABCA3
0	29.8004765482395	0.667	0.466	0	AT2	TOP1
0	29.4649875639165	0.596	0.006	0	AT2	HHIP
0	29.4605820433043	0.725	0.072	0	AT2	SDR16C5
0	28.9419888415291	0.53	0.133	0	AT2	HMGCS1
0	27.9451195092861	0.805	0.084	0	AT2	FASN
0	26.643746293054	0.501	0.009	0	AT2	LL22NC03-N95F10.1
0	26.5747061369061	0.486	0.302	0	AT2	NEDD9
0	26.5212188002694	0.024	0.274	0	AT2	TNFAIP2
0	26.5006061175169	0.728	0.149	0	AT2	FGGY
0	25.5989977031077	0.842	0.038	0	AT2	PEBP4
0	25.2805651045235	0.471	0.119	0	AT2	ACSS2
0	25.2668858083748	0.644	0.456	0	AT2	SAT2
0	24.7607460352468	0.716	0.126	0	AT2	DLC1
0	23.9428268158914	0.827	0.225	0	AT2	MLPH
0	23.3017890600783	0.577	0.188	0	AT2	KLF5
0	22.5508098705836	0.465	0.109	0	AT2	CDC42EP1
0	21.2148972497264	0.444	0.252	0	AT2	SGMS2
0	20.8088168691746	0.564	0.183	0	AT2	ERRFI1
0	20.3465876231796	0.692	0.329	0	AT2	BTG3
0	20.0053381955616	0.381	0.003	0	AT2	CPB2
0	19.3695230538344	0.376	0.025	0	AT2	BMP2
0	19.3661212322859	0.293	0.144	0	AT2	AP000769.1
0	19.3631858921879	0.919	0.141	0	AT2	LPCAT1
0	19.3399407200022	0.816	0.06	0	AT2	C4BPA
0	18.3622848061947	0.359	0.051	0	AT2	BMP1
0	17.929827296153	0.87	0.194	0	AT2	SELENBP1
0	17.9222512688989	0.724	0.575	0	AT2	TCEA1
0	17.8758724642496	0.731	0.145	0	AT2	MAOA
0	17.7311697232424	0.688	0.045	0	AT2	ALOX15B
0	17.2418189219989	0.756	0.351	0	AT2	TMEM243
0	17.1267036322452	0.837	0.554	0	AT2	AKAP13
0	16.5997134969101	0.699	0.126	0	AT2	DUOX1
0	16.4807304930421	0.346	0.115	0	AT2	CLIC2
0	16.3847004192167	0.372	0.073	0	AT2	PIGA
0	16.2383896591957	0.795	0.04	0	AT2	SLC22A31
0	15.9107381978715	0.369	0.131	0	AT2	RFTN1
0	15.5981062733282	0.401	0.012	0	AT2	GOLT1A
0	15.4281937563965	0.783	0.455	0	AT2	FAM177A1
0	15.0380204617676	0.58	0.162	0	AT2	EFNA1
0	14.9574864476518	0.359	0.151	0	AT2	TRAF4
0	14.884307464386	0.387	0.207	0	AT2	GFPT1
0	14.6244418076704	0.491	0.014	0	AT2	RASGRF1
0	14.5347372704283	0.781	0.178	0	AT2	MBIP
0	13.7445672728564	0.923	0.135	0	AT2	SFTA3
0	13.7422244660688	0.539	0.029	0	AT2	ETV1
0	13.6550225800911	0.499	0.33	0	AT2	SARS
0	13.6292974220088	0.612	0.195	0	AT2	C14orf1
0	13.5550873626374	0.419	0.092	0	AT2	IRX2
0	13.4811003633436	0.505	0.169	0	AT2	CYP51A1
0	13.2751863942831	0.309	0.022	0	AT2	SPRY4
0	13.2698146936372	0.634	0.392	0	AT2	GOLGA4
0	13.2260566968911	0.377	0.076	0	AT2	PARD6B
0	12.1531309411856	0.708	0.158	0	AT2	LDLR
0	12.1330951466753	0.642	0.207	0	AT2	PMM1
0	12.0001711068282	0.597	0.037	0	AT2	VEPH1
0	11.9905353415263	0.617	0.192	0	AT2	SH3YL1
0	11.9408704517055	0.5	0.076	0	AT2	TMEM97
0	10.964525141519	0.649	0.126	0	AT2	ATP11A
0	10.7255875736733	0.622	0.013	0	AT2	ZNF385B
0	10.4955316246953	0.548	0.16	0	AT2	IRX3
0	9.81062245073019	0.394	0.015	0	AT2	RP11-259K15.2
0	9.26725698340695	0.91	0.586	0	AT2	CEBPD
0	8.93599271839937	0.616	0.061	0	AT2	RHOBTB2
0	8.84500117525993	0.523	0.079	0	AT2	AHCYL2
0	8.82176410814425	0.385	0.189	0	AT2	TOR1AIP2
0	8.75753104262839	0.435	0.214	0	AT2	ASL
0	8.43414898634374	0.718	0.146	0	AT2	CSF3R
0	8.41349875332231	0.284	0.113	0	AT2	HSD17B7
0	8.3624524862705	0.252	0.012	0	AT2	PCDH9
0	8.28785501058117	0.427	0.206	0	AT2	SLC27A3
0	8.24978356519711	0.669	0.121	0	AT2	C2
0	8.15900804746845	0.484	0.06	0	AT2	C5orf38
0	8.05940202723973	0.841	0.207	0	AT2	DRAM1
0	7.82098703094769	0.869	0.644	0	AT2	LDHB
0	7.8016997213695	0.643	0.276	0	AT2	MPST
0	7.76761244625915	0.469	0.097	0	AT2	GPRC5C
0	7.74263457397364	0.721	0.571	0	AT2	STAT3
0	7.61761716062558	0.292	0.104	0	AT2	EPHA2
0	7.55733719367207	0.321	0.072	0	AT2	SERPINF2
0	7.15243048902154	0.692	0.321	0	AT2	TMEM87A
0	6.95075668291694	0.534	0.217	0	AT2	POLR2C
0	6.94090392540262	0.404	0.008	0	AT2	CCDC141
0	6.77457386240353	0.433	0.047	0	AT2	PIP5K1B
0	6.71675833590372	0.484	0.063	0	AT2	BEX2
0	6.69078582214545	0.44	0.137	0	AT2	BCAT2
0	6.67185310768691	0.565	0.024	0	AT2	ROS1
0	6.59986513422806	0.478	0.29	0	AT2	NUDT16
0	6.55061921714455	0.391	0.026	0	AT2	SLCO4C1
0	6.51840023765237	0.533	0.074	0	AT2	DUOXA1
0	6.41651311888877	0.396	0.033	0	AT2	AC007325.2
0	6.38186690162595	0.959	0.944	0	AT2	RPL9
0	6.33224545690877	0.53	0.023	0	AT2	GKN2
0	6.32380069646792	0.558	0.025	0	AT2	HSD17B6
0	6.2892549936586	0.733	0.606	0	AT2	GLTSCR2
0	6.25256977330597	0.437	0.119	0	AT2	GALE
0	6.23268185058355	0.884	0.577	0	AT2	ATP1A1
0	6.19723659658766	0.541	0.245	0	AT2	MKNK2
0	6.08342738879762	0.345	0.031	0	AT2	B3GNT8
0	5.95193606525154	0.475	0.062	0	AT2	ETV5
0	5.92661185992018	0.411	0.112	0	AT2	CEBPA
0	5.82007797600375	0.519	0.016	0	AT2	CRTAC1
0	5.76548783255759	0.524	0.071	0	AT2	SNX30
0	5.70349546905989	0.524	0.028	0	AT2	P3H2
0	5.6333095406769	0.529	0.072	0	AT2	MMP28
