WBGeneID,WormbaseID,CelGeneID,Celegans_Symbol,Celegans_Tag,Human_Symbol,Human_Gene_ID,Identity,Evalue,Bits,Method,Publication
WBGene00000065,WBGene00000065,179533,act-3,T04C12.4,ACTB,60,97.326,0,770,OnlyCelToHuman2,
WBGene00000065,WBGene00000065,179533,act-3,T04C12.4,ACTB,60,97.326,0,770,OnlyCelToHuman2,
WBGene00000066,WBGene00000066,180767,act-4,M03F4.2,ACTB,60,97.594,0,771,OnlyCelToHuman2,
WBGene00000067,WBGene00000067,176793,act-5,T25C8.2,ACTG1,71,375,0,746,OnlyCelToHuman,
WBGene00000068,WBGene00000068,175622,acy-1,F17C8.1,ADCY9,115,45.851,0,399,RBH,
WBGene00000069,WBGene00000069,191607,acy-2,C10F3.3,ADCY7,113,33.897,0,468,NotRBH-HCOPandCelEqual,
WBGene00000069,WBGene00000069,191607,acy-2,C10F3.3,ADCY4,196883,495,0,287,OnlyCelToHuman,
WBGene00000070,WBGene00000070,175489,acy-3,C44F1.5,ADCY8,114,1147,0,200,OnlyCelToHuman,
WBGene00000071,WBGene00000071,178949,acy-4,T01C2.1,ADCY5,111,35.635,0,620,RBH,
WBGene00000071,WBGene00000071,178949,acy-4,T01C2.1,ADCY6,112,36.053,0,609,NotRBH-HCOPandCelEqual,
WBGene00000072,WBGene00000072,180760,add-1,F39C12.2,ADD1,118,38.033,0,377,RBH,
WBGene00000072,WBGene00000072,180760,add-1,F39C12.2,ADD2,119,29.688,0,290,NotRBH-HCOPandCelEqual,
WBGene00000072,WBGene00000072,180760,add-1,F39C12.2,ADD3,120,35.115,0,310,NotRBH-HCOPandCelEqual,
WBGene00000073,WBGene00000073,179647,add-2,F57F5.4,ADD1,118,50.73,7.28E-83,275,OnlyCelToHuman2,
WBGene00000074,WBGene00000074,181489,adm-2,C04A11.4,ADAM12,8038,31.133,0,337,NotRBH-HCOPandCelEqual,
WBGene00000074,WBGene00000074,181489,adm-2,C04A11.4,ADAM9,8754,35.312,0,321,RBH,
WBGene00000074,WBGene00000074,181489,adm-2,C04A11.4,ADAMDEC1,27299,29.457,0,124,NotRBH-HCOPandCelEqual,
WBGene00000074,WBGene00000074,181489,adm-2,C04A11.4,ADAM33,80332,29.895,0,292,NotRBH-HCOPandCelEqual,
WBGene00000075,WBGene00000075,181041,adm-4,ZK154.7,ADAM17,6868,33.267,0,284,RBH,
WBGene00000079,WBGene00000079,172542,adr-1,H15N14.1,ADAD1,132612,567,0,105,OnlyCelToHuman,
WBGene00000080,WBGene00000080,176022,adr-2,T20H4.4,ADARB1,104,28.843,0,202,RBH,
WBGene00000080,WBGene00000080,176022,adr-2,T20H4.4,ADARB2,105,30.921,0,195,NotRBH-HCOPandCelEqual,
WBGene00000081,WBGene00000081,175192,ads-1,Y50D7A.7,AGPS,8540,53.927,0,665,RBH,
WBGene00000082,WBGene00000082,181412,adt-1,C02B4.1,ADAMTS18,170692,1194,0,243,OnlyCelToHuman,
WBGene00000083,WBGene00000083,181022,adt-2,F08C6.1,ADAMTS6,11174,1045,0,205,OnlyCelToHuman,
WBGene00000084,WBGene00000084,172519,aex-1,D2030.10,UNC13D,201294,28.507,3.40E-08,57.4,OnlyCelToHuman2,
WBGene00000086,WBGene00000086,180420,aex-3,C02H7.3,MADD,8567,42.29,0,505,RBH,
WBGene00000088,WBGene00000088,173358,aex-5,F32A7.6,PCSK1,5122,572,0,277,OnlyCelToHuman,
WBGene00000089,WBGene00000089,173223,aex-6,Y87G2A.4,RAB27A,5873,66.146,0,267,RBH,
WBGene00000089,WBGene00000089,173223,aex-6,Y87G2A.4,RAB27B,5874,60.93,0,274,NotRBH-HCOPandCelEqual,
WBGene00000090,WBGene00000090,174762,age-1,B0334.8,PIK3CA,5290,27.094,0,378,RBH,
WBGene00000090,WBGene00000090,174762,age-1,B0334.8,PIK3CB,5291,28.035,0,361,NotRBH-HCOPandCelEqual,
WBGene00000090,WBGene00000090,174762,age-1,B0334.8,PIK3CD,5293,28.782,0,364,NotRBH-HCOPandCelEqual,
WBGene00000092,WBGene00000092,180801,ags-3,F32A6.4,GPSM1,26086,29.085,0,239,NotRBH-HCOPandCelEqual,
WBGene00000092,WBGene00000092,180801,ags-3,F32A6.4,GPSM2,29899,30.079,0,278,RBH,
WBGene00000093,WBGene00000093,190454,agt-1,Y62E10A.5,MGMT,4255,41.667,0,59.7,RBH,
WBGene00000095,WBGene00000095,172889,aha-1,C25A1.11,ARNT,405,47.75,0,355,NotRBH-HCOPandCelEqual,
WBGene00000095,WBGene00000095,172889,aha-1,C25A1.11,ARNT2,9915,48.958,0,356,RBH,
WBGene00000096,WBGene00000096,172788,ahr-1,C41G7.5,AHR,196,34.409,0,253,RBH,
WBGene00000096,WBGene00000096,172788,ahr-1,C41G7.5,AHRR,57491,34.03,0,167,NotRBH-HCOPandCelEqual,
WBGene00000096,WBGene00000096,172788,ahr-1,C41G7.5,A0A1B0GVI7,-,34.557,0,249,NotRBH-HCOPandCelEqual,
WBGene00000097,WBGene00000097,179898,aip-1,F58E10.4,ZFAND2A,90637,43.609,0,132,RBH,
WBGene00000097,WBGene00000097,179898,aip-1,F58E10.4,ZFAND2B,130617,32.955,0,130,NotRBH-HCOPandCelEqual,
WBGene00000098,WBGene00000098,179202,air-1,K07C11.2,AURKA,6790,55.814,1.15E-104,311,OnlyCelToHuman2,
WBGene00000099,WBGene00000099,172268,air-2,B0207.4,AURKA,6790,61.232,0,360,RBH,
WBGene00000099,WBGene00000099,172268,air-2,B0207.4,AURKC,6795,61.39,0,347,NotRBH-HCOPandCelEqual,
WBGene00000099,WBGene00000099,172268,air-2,B0207.4,AURKB,9212,63.953,0,353,NotRBH-HCOPandCelEqual,
WBGene00000100,WBGene00000100,181148,ajm-1,C25A11.4,AJM1,389813,34.392,0,108,RBH,
WBGene00000101,WBGene00000101,174216,aka-1,D1022.7,ZFYVE9,9372,27.121,0,187,RBH,
WBGene00000101,WBGene00000101,174216,aka-1,D1022.7,ZFYVE16,9765,23.925,0,129,NotRBH-HCOPandCelEqual,
WBGene00000102,WBGene00000102,179424,akt-1,C12D8.10,AKT1,207,55.357,0,568,RBH,
WBGene00000102,WBGene00000102,179424,akt-1,C12D8.10,AKT2,208,53.678,0,566,NotRBH-HCOPandCelEqual,
WBGene00000103,WBGene00000103,181524,akt-2,F28H6.1,AKT3,10000,477,0,547,OnlyCelToHuman,
WBGene00000105,WBGene00000105,181504,alg-1,F48F7.1,AGO1,26523,66.743,0,1222,NotRBH-HCOPandCelEqual,
WBGene00000105,WBGene00000105,181504,alg-1,F48F7.1,AGO2,27161,67.431,0,1238,RBH,
WBGene00000105,WBGene00000105,181504,alg-1,F48F7.1,AGO3,192669,65.904,0,1199,NotRBH-HCOPandCelEqual,
WBGene00000106,WBGene00000106,173468,alg-2,T07D3.7,AGO2,27161,66.901,0,1194,OnlyCelToHuman2,
WBGene00000107,WBGene00000107,175691,alh-1,F54D8.3,ALDH2,217,66.474,0,714,RBH,
WBGene00000108,WBGene00000108,187001,alh-2,K04F1.15,ALDH2,217,66.18,0,682,OnlyCelToHuman2,
WBGene00000109,WBGene00000109,177999,alh-3,F36H1.6,ALDH1L1,10840,58.952,0,1089,NotRBH-HCOPandCelEqual,
WBGene00000109,WBGene00000109,177999,alh-3,F36H1.6,ALDH1L2,160428,58.972,0,1096,RBH,
WBGene00000110,WBGene00000110,179026,alh-4,T05H4.13,ALDH3A1,218,50,0,471,RBH,
WBGene00000110,WBGene00000110,179026,alh-4,T05H4.13,ALDH3B2,222,44.715,0,339,NotRBH-HCOPandCelEqual,
WBGene00000110,WBGene00000110,179026,alh-4,T05H4.13,ALDH3A2,224,48.312,0,467,NotRBH-HCOPandCelEqual,
WBGene00000111,WBGene00000111,178680,alh-5,T08B1.3,ALDH3A1,218,49.883,1.19E-148,430,OnlyCelToHuman2,
WBGene00000112,WBGene00000112,173510,alh-6,F56D12.1,ALDH4A1,8659,54.107,0,639,RBH,
WBGene00000113,WBGene00000113,174991,alh-7,F45H10.1,ALDH5A1,7915,49.576,0,467,RBH,
WBGene00000114,WBGene00000114,174800,alh-8,F13D12.4,ALDH6A1,4329,67.589,0,733,RBH,
WBGene00000115,WBGene00000115,175820,alh-9,F01F1.6,ALDH7A1,501,64.648,0,709,RBH,
WBGene00000116,WBGene00000116,180979,alh-10,C54D1.4,ALDH8A1,64577,51.255,0,488,RBH,
WBGene00000117,WBGene00000117,185679,alh-11,F42G9.5,ALDH9A1,223,47.879,0,474,RBH,
WBGene00000118,WBGene00000118,176056,alh-12,Y69F12A.2,ALDH9A1,223,50.212,1.49E-157,456,OnlyCelToHuman2,
WBGene00000121,WBGene00000121,177738,aly-2,F23B2.6,ALYREF,10189,30.435,0,60.8,RBH,
WBGene00000123,WBGene00000123,177190,ama-1,F36A4.7,POLR2A,5430,70.025,0,2424,NotRBH-HCOPandCelEqual,
WBGene00000135,WBGene00000135,174338,amt-3,M195.3,RHCG,51458,344,0.000000813,52,OnlyCelToHuman,
WBGene00000137,WBGene00000137,175493,amx-1,R13G10.2,KDM1B,221656,34.625,0,413,RBH,
WBGene00000138,WBGene00000138,173146,amx-2,B0019.1,MAOA,4128,25.434,0,86.3,RBH,
WBGene00000139,WBGene00000139,184919,amx-3,F25C8.2,SMOX,54498,545,0,122,OnlyCelToHuman,
WBGene00000139,WBGene00000139,184919,amx-3,F25C8.2,IL4I1,259307,22.515,0.000000000379,61.6,NotRBH-HCOPandCelEqual,
WBGene00000140,WBGene00000140,172034,anc-1,ZK973.6,SYNE1,23345,27.477,0,216,RBH,
WBGene00000142,WBGene00000142,179409,aos-1,C08B6.9,SAE1,10055,30.925,0,154,RBH,
WBGene00000143,WBGene00000143,176139,apc-2,K06H7.6,ANAPC2,29882,29.563,0,206,RBH,
WBGene00000144,WBGene00000144,179454,apc-10,F15H10.3,ANAPC10,10393,29.333,7.46E-24,93.2,OnlyCelToHuman2,
WBGene00000145,WBGene00000145,175604,apc-11,F35G12.9,ANAPC11,51529,48.276,0,83.6,RBH,
WBGene00000146,WBGene00000146,179601,ape-1,F46F3.4,TP53BP2,7159,50.467,0,214,NotRBH-HCOPandCelEqual,
WBGene00000146,WBGene00000146,179601,ape-1,F46F3.4,PPP1R13B,23368,51.142,0,220,RBH,
WBGene00000147,WBGene00000147,172747,aph-1,VF36H2L.1,APH1A,51107,31.897,0,100,RBH,
WBGene00000147,WBGene00000147,172747,aph-1,VF36H2L.1,APH1B,83464,31.061,0,98.2,NotRBH-HCOPandCelEqual,
WBGene00000148,WBGene00000148,172905,aph-2,ZC434.6,NCSTN,23385,22.925,0,160,RBH,
WBGene00000149,WBGene00000149,180783,apl-1,C42D8.8,APLP1,333,29.381,0,105,RBH,
WBGene00000149,WBGene00000149,180783,apl-1,C42D8.8,APLP2,334,35.751,0,144,NotRBH-HCOPandCelEqual,
WBGene00000149,WBGene00000149,180783,apl-1,C42D8.8,APP,351,37.113,0,140,NotRBH-HCOPandCelEqual,
WBGene00000150,WBGene00000150,172180,apm-1,F55A12.7,AP1M1,8907,71.831,0,652,OnlyCelToHuman2,Publications (PMID: 10930467)
WBGene00000155,WBGene00000155,172118,app-1,W03G9.4,XPNPEP1,7511,41.72,0,467,RBH,
WBGene00000156,WBGene00000156,172591,Apr-1,K04G2.8,APC,324,32.792,0,154,RBH,
WBGene00000156,WBGene00000156,172591,Apr-1,K04G2.8,APC2,10297,32.143,0,130,NotRBH-HCOPandCelEqual,
WBGene00000156,WBGene00000156,172591,Apr-1,K04G2.8,H3BNH8,-,42.373,0.00000000594,50.8,NotRBH-HCOPandCelEqual,
WBGene00000157,WBGene00000157,184091,aps-2,F02E8.3,AP2S1,1175,95.07,0,278,RBH,
WBGene00000158,WBGene00000158,173304,apg-1,Y105E8A.9,AP1G1,164,50.542,0,785,RBH,
WBGene00000158,WBGene00000158,173304,apg-1,Y105E8A.9,AP1G2,8906,43.688,0,660,NotRBH-HCOPandCelEqual,
WBGene00000159,WBGene00000159,178989,aps-1,F29G9.3,AP1S1,1174,75.949,0,251,NotRBH-HCOPandCelEqual,
WBGene00000159,WBGene00000159,178989,aps-1,F29G9.3,AP1S2,8905,79.487,0,256,RBH,
WBGene00000159,WBGene00000159,178989,aps-1,F29G9.3,AP1S3,130340,69.178,0,220,NotRBH-HCOPandCelEqual,
WBGene00000160,WBGene00000160,175376,apb-1,Y71H2B.10,AP1B1,162,63.19,0,1196,NotRBH-HCOPandCelEqual,
WBGene00000160,WBGene00000160,175376,apb-1,Y71H2B.10,AP2B1,163,62.19,0,1199,RBH,
WBGene00000161,WBGene00000161,181163,apa-2,T20B5.1,AP2A1,160,76.129,0,994,NotRBH-HCOPandCelEqual,
WBGene00000161,WBGene00000161,181163,apa-2,T20B5.1,AP2A2,161,65.397,0,1248,RBH,
WBGene00000162,WBGene00000162,173701,apd-3,W09G10.4,AP3D1,8943,56.228,0,964,RBH,
WBGene00000163,WBGene00000163,172553,apb-3,R11A5.1,AP3B2,8120,50.693,0,642,RBH,
WBGene00000163,WBGene00000163,172553,apb-3,R11A5.1,AP3B1,8546,50.24,0,626,NotRBH-HCOPandCelEqual,
WBGene00000164,WBGene00000164,186194,apm-3,F53H8.1,AP3M2,10947,62.679,0,573,NotRBH-HCOPandCelEqual,
WBGene00000164,WBGene00000164,186194,apm-3,F53H8.1,AP3M1,26985,63.636,0,583,RBH,
WBGene00000165,WBGene00000165,171691,aps-3,Y48G8AL.14,AP3S1,1176,73.958,0,298,NotRBH-HCOPandCelEqual,
WBGene00000165,WBGene00000165,171691,aps-3,Y48G8AL.14,AP3S2,10239,73.684,0,299,RBH,
WBGene00000166,WBGene00000166,189194,apt-9,W04G3.4,GGA2,23062,26.275,0,137,RBH,
WBGene00000166,WBGene00000166,189194,apt-9,W04G3.4,GGA3,23163,29.667,0,142,NotRBH-HCOPandCelEqual,
WBGene00000168,WBGene00000168,178759,apx-1,K08D9.3,DLL1,28514,373,0,125,OnlyCelToHuman,
WBGene00000169,WBGene00000169,174190,aqp-1,F32A5.5,AQP10,89872,35.439,1.73E-53,176,OnlyCelToHuman2,
WBGene00000170,WBGene00000170,174467,aqp-2,C01G6.1,AQP3,360,42.599,0,215,RBH,
WBGene00000170,WBGene00000170,174467,aqp-2,C01G6.1,AQP9,366,40.714,0,204,NotRBH-HCOPandCelEqual,
WBGene00000170,WBGene00000170,174467,aqp-2,C01G6.1,AQP10,89872,38.214,0,204,NotRBH-HCOPandCelEqual,
WBGene00000171,WBGene00000171,190553,aqp-3,Y69E1A.7,AQP9,366,39.31,1.91E-60,197,OnlyCelToHuman2,
WBGene00000172,WBGene00000172,179366,aqp-4,F40F9.9,AQP8,343,32.946,0,136,RBH,
WBGene00000173,WBGene00000173,183221,aqp-5,C35A5.1,AQP8,343,30.12,2.21E-26,104,OnlyCelToHuman2,
WBGene00000174,WBGene00000174,183121,aqp-6,C32C4.2,AQP8,343,35.266,3.64E-35,127,OnlyCelToHuman2,
WBGene00000175,WBGene00000175,180589,aqp-7,M02F4.8,AQP10,89872,35.915,2.77E-64,203,OnlyCelToHuman2,
WBGene00000176,WBGene00000176,180744,aqp-8,K02G10.7,AQP10,89872,38.202,1.28E-55,181,OnlyCelToHuman2,
WBGene00000180,WBGene00000180,174525,arc-1,ZK1320.6,TRIM23,373,36.162,0,342,RBH,
WBGene00000181,WBGene00000181,178016,ard-1,F01G4.2,HSD17B10,3028,59.922,0,300,RBH,
WBGene00000182,WBGene00000182,175801,arf-1.2,B0336.2,ARF1,375,93.889,0,355,RBH,
WBGene00000183,WBGene00000183,177595,arf-3,F57H12.1,ARF5,381,84.916,0,327,RBH,
WBGene00000184,WBGene00000184,191608,arf-6,Y116A8C.12,ARF6,382,88.506,0,329,RBH,
WBGene00000185,WBGene00000185,180501,arg-1,F31A9.3,NOTCH3,4854,251,0,68.9,OnlyCelToHuman,
WBGene00000186,WBGene00000186,178218,ark-1,C01C7.1,TNK2,10188,36.937,2.92E-75,268,OnlyCelToHuman2,
WBGene00000187,WBGene00000187,174375,arl-1,F54C9.10,ARL1,400,71.823,0,273,RBH,
WBGene00000188,WBGene00000188,175121,arl-3,F19H8.3,ARL3,403,63.388,0,250,RBH,
WBGene00000189,WBGene00000189,176392,arl-5,ZK632.8,ARL5B,221079,52.809,0,201,RBH,
WBGene00000189,WBGene00000189,176392,arl-5,ZK632.8,ARL5C,390790,45.977,0,160,NotRBH-HCOPandCelEqual,
WBGene00000190,WBGene00000190,191609,arf-1.1,F45E4.1,ARF1,375,60.894,1.08E-75,224,OnlyCelToHuman2,Publication (PMID: 27435667)
WBGene00000192,WBGene00000192,178405,arl-8,Y57G11C.13,ARL8B,55207,84.865,0,340,RBH,
WBGene00000192,WBGene00000192,178405,arl-8,Y57G11C.13,ARL8A,127829,84.865,0,338,NotRBH-HCOPandCelEqual,
WBGene00000193,WBGene00000193,183311,arl-6,C38D4.8,ARL6,84100,44.751,0,172,RBH,
WBGene00000195,WBGene00000195,180446,arr-1,F53H8.2,ARR3,407,48.066,0,322,NotRBH-HCOPandCelEqual,
WBGene00000195,WBGene00000195,180446,arr-1,F53H8.2,ARRB1,408,54.953,0,431,RBH,
WBGene00000195,WBGene00000195,180446,arr-1,F53H8.2,ARRB2,409,53.428,0,420,NotRBH-HCOPandCelEqual,
WBGene00000195,WBGene00000195,180446,arr-1,F53H8.2,SAG,6295,43.415,0,314,NotRBH-HCOPandCelEqual,
WBGene00000196,WBGene00000196,174749,aars-1,W02B12.6,AARS,16,38.49,1.98E-170,516,OnlyCelToHuman2,
WBGene00000197,WBGene00000197,171985,aars-2,F28H1.3,AARS,16,57.704,0,1139,RBH,
WBGene00000197,WBGene00000197,171985,aars-2,F28H1.3,AARS2,57505,43.048,0,796,NotRBH-HCOPandCelEqual,
WBGene00000198,WBGene00000198,174140,art-1,C15F1.6,TECR,9524,53.115,0,332,RBH,
WBGene00000198,WBGene00000198,174140,art-1,C15F1.6,TECRL,253017,40.656,0,250,NotRBH-HCOPandCelEqual,
WBGene00000199,WBGene00000199,171857,arx-1,Y71F9AL.16,ACTR3,10096,76.123,0,676,RBH,
WBGene00000199,WBGene00000199,171857,arx-1,Y71F9AL.16,ACTR3B,57180,72.813,0,659,NotRBH-HCOPandCelEqual,
WBGene00000199,WBGene00000199,171857,arx-1,Y71F9AL.16,ACTR3C,653857,73.846,0,304,NotRBH-HCOPandCelEqual,
WBGene00000200,WBGene00000200,179440,arx-2,K07C5.1,ACTR2,10097,76.081,0,653,RBH,
WBGene00000201,WBGene00000201,3565442,arx-3,Y79H2A.6,ARPC1B,10095,50.824,0,384,NotRBH-HCOPandCelEqual,
WBGene00000201,WBGene00000201,3565442,arx-3,Y79H2A.6,ARPC1A,10552,56.712,0,419,RBH,
WBGene00000202,WBGene00000202,259488,exos-4.2,Y6D11A.1,EXOSC4,54512,27.064,7.98E-15,71.2,OnlyCelToHuman2,
WBGene00000203,WBGene00000203,176697,arx-5,Y37D8A.1,ARPC3,10094,53.297,0,193,RBH,
WBGene00000204,WBGene00000204,175650,arx-6,C35D10.16,ARPC4,10093,77.381,0,278,RBH,
WBGene00000205,WBGene00000205,171882,arx-7,M01B12.3,ARPC5,10092,41.83,0,111,RBH,
WBGene00000205,WBGene00000205,171882,arx-7,M01B12.3,ARPC5L,81873,39.474,0,108,NotRBH-HCOPandCelEqual,
WBGene00000207,WBGene00000207,180718,asb-2,F02E8.1,ATP5PB,515,24.121,0.000000000102,60.1,RBH,
WBGene00000208,WBGene00000208,175159,trip-4,Y53F4B.15,TRIP4,9325,31.264,0,160,RBH,
WBGene00000209,WBGene00000209,172673,asg-1,K07A12.3,ATP5MG,10632,41.026,2.59E-13,61.2,OnlyCelToHuman2,
WBGene00000210,WBGene00000210,180956,asg-2,C53B7.4,ATP5MG,10632,35,0,61.2,RBH,
WBGene00000210,WBGene00000210,180956,asg-2,C53B7.4,ATP5MGL,267020,32.99,0.000000000269,52.8,NotRBH-HCOPandCelEqual,
WBGene00000211,WBGene00000211,174131,asm-1,B0252.2,SMPD1,6609,33.766,2.04E-100,317,OnlyCelToHuman2,Publication (PMID: 9603947)
WBGene00000212,WBGene00000212,181323,asm-2,ZK455.4,SMPD1,6609,35.122,0,380,RBH,
WBGene00000213,WBGene00000213,176879,asm-3,W03G1.7,SMPD1,6609,35.632,3.33E-105,330,OnlyCelToHuman2,Publication ( PMID: 23049887 )
WBGene00000214,WBGene00000214,180251,asp-1,Y39B6A.20,PGC,5225,387,0,242,OnlyCelToHuman,
WBGene00000215,WBGene00000215,179302,asp-2,T18H9.2,PGC,5225,33.729,1.26E-60,201,OnlyCelToHuman2,
WBGene00000216,WBGene00000216,180947,asp-3,H22K11.1,CTSD,1509,44.359,3.36E-108,323,OnlyCelToHuman2,
WBGene00000217,WBGene00000217,181444,asp-4,R12H7.2,CTSD,1509,58.092,0,421,RBH,
